# Case
PARIS, paris
# Hyphens
aix-les-bains, aix les bains
# /s abbreviation
roquebrune s/argens, roquebrune sur argens
# st abbreviation
st brieuc, saint brieuc
# mt abbreviation
mt d or, mont d or
# Cedex alone
marseille cedex, marseille
# Cedex with letters
bordeaux cedex onze, bordeaux
# Broken encoding for this town
berre atang, berre etang
# Numbers
49070 saint jean de linieres, saint jean de linieres
# Weird name
vendres beziers ouesaint a9 sortie 36, vendres
# Mixture
st PaRIS-s/SeIne cedex 02, saint paris sur seine
